Return,成交股數,開盤價,最高價,最低價,收盤價,TR,季股價動量,半年股價動量,一年股價動量,季動盪比率,半年動盪比率,一年動盪比率,投信多方交易契約金額,投信空方交易契約金額,投信多空交易契約金額淨額,自營商多方交易契約金額,自營商空方交易契約金額,自營商多空交易契約金額淨額,外資多方交易契約金額,外資空方交易契約金額,外資多空交易契約金額淨額,外資買賣超市值(百萬),投信買賣超市值(百萬),自營買賣超市值(百萬),原始數值,領先指標變動率(上一季),領先指標變動率(去年同季),市值(百萬元),本益比-TSE,股價淨值比-TSE,每股盈餘,加權平均股數,流動比率,稅後淨利成長率,負債比率,稅後淨利率,速動比率,平均收帳天數,存貨週轉率（次）,存貨及應收帳款/淨值,總負債/總淨值,淨值/資產,利息保障倍數,營業收入淨額,營業毛利率,稅前息前折舊前淨利,稅前淨利率,營業利益,每人營收,每人營業利益,每人配備率,當季季底PSR,貝里比率,流動負債,    普通股股本,股東權益總額,本期產生現金流量,每股營業額,每股淨值(B),ROE(A)－稅後,流動資產,每股現金流量,資產總額,期末現金及約當現金,  應收帳款及票據,  存貨,BVPS(每股帳面值),ROE(權益報酬率),CA(流動資產),加權平均股本,CR(流動比率),EPS(每股盈餘),負債比率%,應收帳款收現天數,存貨週轉率,營業收入對資產比率,折舊前淨利對營業收入淨額比率,銷貨對現金比率,銷貨對應收帳款比率,銷貨對存貨比率,銷貨對淨營運資本比率,淨營運資本對總資產比率,營業利益對總資產比率,每股盈餘變動率,淨值成長率,現金股利率,股利殖利率-TSE
TRUE,0.749118899,-0.315935604,-0.289115756,-0.301196844,-0.247226166,-0.219068832,0.201802302,-0.03683028,0.041823357,0.831517554,0.132499531,0.206182359,-0.896642093,-0.943467637,0.154156028,-1.573033143,-1.533719434,-0.482080198,-0.88765817,-0.888449469,0.078828707,1.221001729,0.122581097,-1.05070197,-1.020395572,-0.582480121,-0.354441919,0.700876889,-0.161760509,0.974961057,-0.273783305,2.401297996,-0.210627166,-0.301509844,-1.022204363,1.823317374,0.105280548,-0.459410353,-0.065968777,-0.865770478,-0.552100995,1.022204363,-0.111988727,-0.279871793,1.572104251,0.74696872,1.649846973,0.651504997,0.188725487,0.818444921,1.410603726,1.835382918,0.457669385,-0.321391829,2.401645294,0.559995843,0.462343038,-0.684910232,-0.647475144,0.81899302,-0.30272542,-0.147577263,-0.420311426,-0.201557489,-0.264707602,-0.454247889,-0.647475144,0.81899302,-0.30272542,2.401297996,-0.210627166,-0.273783305,-1.022204363,-0.459410353,-0.065968777,-0.372227441,1.956495081,-0.262842261,-0.228861151,0.501140529,-0.222531567,-0.738776748,1.233733505,-0.013093864,-0.060051992,0.125789539,0.006199752
TRUE,0.570797542,-0.240055616,-0.231120215,-0.218602442,-0.199969255,-0.245218756,0.067274151,0.212365391,0.064763567,0.344300237,0.812036161,0.3695992,-0.965812772,-0.964059389,-0.298119422,-1.570135933,-1.549542499,-0.00496385,-0.884313854,-0.879782714,-0.503365787,0.577310215,1.300324489,0.476017344,-0.908157953,0.488882701,-0.024415575,0.644983561,-0.166999421,0.732097799,-0.103734313,2.401532789,-1.065445921,-0.209317291,-0.697837891,1.920915248,-0.821695751,-0.451343273,0.086436958,-0.784438393,-0.525953657,0.697837891,-0.083006879,-0.209057428,1.650815705,1.093541495,1.830021769,1.122682539,0.714331651,1.442031468,1.595569744,1.584843029,0.809195063,-0.079370257,2.401661396,0.470848739,0.041665134,-0.647576654,-0.680599495,1.420137559,-0.269096717,-0.031652568,-0.400101297,-0.169614421,-0.220788439,-0.430245159,-0.680599495,1.420137559,-0.269096717,2.401532789,-1.065445921,-0.103734313,-0.697837891,-0.451343273,0.086436958,-0.249591276,2.00257871,-0.241942827,-0.10382177,0.729905976,0.269175528,-1.540563977,1.90661624,0.047840751,0.144052133,0.072597418,-0.026990338
TRUE,0.419548074,-0.180016553,-0.17006793,-0.121451173,-0.177013336,-0.301715504,-0.051866794,0.028260523,-0.010278138,0.014491592,0.239283858,0.550217814,-1.027964206,-1.042087612,-0.175098383,-1.53476213,-1.527666574,0.328007444,-0.917083892,-0.919637012,0.27129848,-0.134574233,-2.108684281,-2.284681371,-0.732727727,1.164430055,0.031823822,0.777039297,-0.153527933,1.15306078,0.055686617,2.401643967,-0.26437078,-0.033969928,-0.916124655,2.147342314,-0.033106566,-0.452687787,0.108209206,-0.787475691,-0.544210378,0.916124655,-0.09730039,-0.167290327,1.652924047,1.331254107,2.016289433,1.36021548,1.023754432,1.758534609,1.750165646,1.652061048,0.914723082,-0.337232599,2.401867003,0.59629303,-0.967496208,-0.625262332,-0.634122692,1.925645467,-0.335354152,0.029858495,-0.401935506,-0.336033678,-0.19958516,-0.410633627,-0.634122692,1.925645467,-0.335354152,2.401643967,-0.26437078,0.055686617,-0.916124655,-0.452687787,0.108209206,-0.140581352,2.078311325,-0.178981429,-0.012337866,0.787884047,-0.067741279,-0.940121594,2.345562173,0.028115613,0.294444647,0.141747175,0.017263116
TRUE,0.434261057,-0.155766248,-0.127769188,-0.118392121,-0.10814558,-0.148044349,0.173226061,0.10515701,0.188407412,0.531691513,0.360629685,0.49001161,-1.030425066,-1.053923856,-0.092437345,-0.780122297,-0.837716538,1.729674006,-0.758817856,-0.74878819,-1.103758512,-0.191687569,0.152449991,-0.265754174,-0.629921842,0.330876541,0.236373043,0.888981702,-0.165951639,1.169251664,-0.103734313,2.401772343,-0.613408975,-0.150628676,-0.878211691,1.821365417,-0.444065575,-0.320253238,-0.229260637,-0.832360202,-0.541219164,0.878211691,-0.122787615,-0.198834459,1.532748525,1.192647182,1.774315552,1.103338076,0.65079684,1.304503317,1.795120281,1.719279067,0.767384115,-0.274383713,2.402233921,0.724016136,-0.021203868,-0.641998074,-0.586618778,1.174214793,-0.33393407,0.115027659,-0.373165426,-0.316448239,-0.238983786,-0.374236449,-0.586618778,1.174214793,-0.33393407,2.401772343,-0.613408975,-0.103734313,-0.878211691,-0.320253238,-0.229260637,-0.297283118,2.095967462,-0.200559484,0.095371915,0.291275169,-0.005571269,-1.249691597,1.631174522,-0.081621188,0.468800802,-0.028467611,-0.165282382
FALSE,0.694975121,-0.098562906,-0.14842287,-0.133687381,-0.158540995,-0.181942398,-0.411487801,-0.155844345,-0.082792531,-0.772551766,-0.202414951,0.389667935,-0.995877278,-1.032411659,0.033601883,-0.761754844,-0.796673595,1.144493885,-0.727587229,-0.726319744,-0.144988239,-0.268404724,-2.03996054,-0.725262251,-0.569558753,-0.135515955,0.363197066,0.943564332,-0.172388017,1.064010919,-0.146246561,2.402573005,-0.381898023,-0.200203917,-0.770217187,1.644713265,-0.147294048,-0.335042883,-0.283691257,-0.824598219,-0.532331476,0.770217187,-0.141919835,-0.194723994,1.435061989,1.190621518,1.709034829,1.024714255,0.6796763,1.204654111,2.020922952,1.670393235,0.636812798,-0.247224108,2.402817308,0.845217185,0.787986493,-0.639852466,-0.541425865,0.882750774,-0.244176695,0.013297824,-0.334996482,-0.137807083,-0.196322493,-0.374212877,-0.541425865,0.882750774,-0.244176695,2.402573005,-0.381898023,-0.146246561,-0.770217187,-0.335042883,-0.283691257,-0.379040561,2.057823542,-0.242932569,-0.185554219,0.313118662,-0.150073728,-1.014912085,1.228702606,-0.047307655,0.617540651,-0.257193731,-0.392081334
TRUE,0.272418241,-0.139143054,-0.139087406,-0.077464116,-0.12482449,-0.317534594,8.89E-04,-0.280920789,-0.112148224,0.119430706,-0.449960438,0.168911852,-1.027707547,-1.031216832,-0.269420964,-1.633787111,-1.606378497,-0.157891017,-0.76247217,-0.758789055,-0.409538754,-0.221766164,0.020727326,1.205372929,-0.419594204,0.797737636,0.450053787,1.106655676,-0.156820963,1.19353799,0.103512896,2.402933872,-0.896064949,-0.179783909,-0.440489286,1.978497993,-0.639981154,-0.322942264,-0.087741025,-0.742253702,-0.500270473,0.440489286,-0.141142786,-0.122153273,1.66346576,1.567559232,2.060680325,1.5538651,1.19373068,1.87533934,2.2479267,1.817050731,0.829316243,-0.008832902,2.40282854,0.785587158,0.727970404,-0.601660645,-0.561454542,1.579531944,-0.140631057,0.027492685,-0.293789822,0.029037217,-0.117130607,-0.368004574,-0.561454542,1.579531944,-0.140631057,2.402933872,-0.896064949,0.103512896,-0.440489286,-0.322942264,-0.087741025,-0.324535599,2.114511959,-0.247810287,-0.269710308,0.648787535,0.054843633,-1.368693217,1.694689621,0.066735335,0.834866096,-0.172086337,-0.303574426
TRUE,0.545491211,-0.106092235,-0.095632058,-0.073455704,-0.037215378,-0.159989375,0.265109668,0.210131883,0.028020349,0.666613231,0.530513842,-0.269733353,-1.009432212,-1.03896566,-0.032626659,-1.586596614,-1.607881166,1.069976047,-0.803194186,-0.806872258,0.395349509,1.0511973,0.152041539,-1.142898316,-0.269629656,0.762701483,0.337663454,0.943573917,-0.1930443,0.974961057,0.103512896,2.402937403,0.089155894,-0.250686714,-0.612820941,1.855524672,0.426396614,-0.182440636,0.053778586,-0.790850466,-0.51804585,0.612820941,-0.146779545,-0.10116226,1.631137841,1.609352981,1.887468806,1.633590908,1.342253615,1.975188545,2.304034203,1.419853346,0.846678875,-0.274913263,2.40284163,0.939734412,-0.317650842,-0.590503484,-0.504193067,1.520328315,-0.167603292,0.214391683,-0.2908761,-0.009647424,-0.12079824,-0.381497456,-0.504193067,1.520328315,-0.167603292,2.402937403,0.089155894,0.103512896,-0.612820941,-0.182440636,0.053778586,-0.290469997,2.030395455,-0.23521926,-0.155628514,0.882079341,-0.190688287,-0.739974132,1.780843766,-0.031429072,0.858003406,-0.35825876,-0.497183288
TRUE,0.340097964,-0.00312622,-0.042841245,0.049433795,0.016677228,-0.329802459,0.099807102,0.281923209,-0.004445881,0.246856774,0.627590504,0.186113625,-1.008604893,-1.039549232,-0.019836765,-1.548438019,-1.563742581,0.9045987,-0.771794936,-0.771573189,-0.030979644,0.560903555,-1.449519868,-0.278203983,-0.251709364,-0.594409652,0.077203185,1.021248898,-0.185560139,0.90210208,-0.039965941,2.402853867,-0.373629775,-0.240136376,-0.568014711,1.736455267,-0.061798344,-0.012359718,0.021120214,-0.844509393,-0.513662174,0.568014711,-0.153869597,-0.153779098,1.343700481,1.415986554,1.716868516,1.158041773,0.702779867,1.174510955,2.30248996,1.487071365,0.676622446,-0.159118968,2.402876369,1.055734506,0.435560795,-0.618396387,-0.460797599,0.937400278,-0.129229542,0.278268556,-0.258325603,0.099720388,-0.163211519,-0.37690265,-0.460797599,0.937400278,-0.129229542,2.402853867,-0.373629775,-0.039965941,-0.568014711,-0.012359718,0.021120214,-0.447171763,2.112568673,-0.266496373,-0.171399246,0.554541383,-0.187173812,-0.995293397,0.97464221,-0.074569196,0.702652898,-0.491239062,-0.635475332
FALSE,0.603166105,0.051925885,0.025481137,0.094475697,-0.008968837,-0.200667034,-0.290148683,-0.121065436,0.049210882,-0.480221376,-0.16843812,0.435539329,-0.879016175,-0.895870803,-0.107236588,0.314284536,0.244850982,1.668916134,-0.574506231,-0.551836801,-2.484821447,-2.698691627,1.427145725,1.161104116,-0.30264072,-1.283247231,-0.243742726,1.223204091,-0.162808292,1.080201803,0.023802431,2.403018176,-0.194445023,-0.190447691,-0.647670232,1.888707949,0.085138339,-0.174373557,-0.261919009,-0.837759843,-0.521363691,0.647670232,-0.152714524,-0.146220237,1.555237511,1.496205912,1.839596276,1.34897739,0.731659327,1.379861208,2.428088406,1.755943441,0.759162557,-0.20204123,2.402954236,1.191202737,-0.355378983,-0.614105171,-0.410469128,0.964725029,-0.134143147,0.207294253,-0.244776475,0.053619846,-0.150090742,-0.329344114,-0.410469128,0.964725029,-0.134143147,2.403018176,-0.194445023,0.023802431,-0.647670232,-0.174373557,-0.261919009,-0.453984884,2.183026656,-0.258371716,-0.20870966,0.249406356,-0.207455531,-0.938279463,1.140033013,-0.009263305,0.676210258,-0.544431183,-0.69079215
TRUE,0.61670205,0.023959807,0.070093091,0.086353387,0.135850729,-0.001475641,0.545596468,0.202474141,0.29008309,1.056387085,0.341214353,0.140242231,-0.8745254,-0.883665621,-0.174531836,0.408789327,0.410732327,-0.185251344,-0.462726045,-0.476139116,1.463230212,1.856077877,0.567638639,-1.463468211,-0.323390532,-0.983039356,-0.727014272,1.347483702,-0.157270013,1.104488128,0.262933826,2.403091885,-0.405639708,-0.212229033,-0.496401334,1.919939269,-0.110342515,-0.498401235,-0.240146761,-0.750015685,-0.506321665,0.496401334,-0.14198704,-0.037024301,1.720391007,2.088573068,2.233021435,2.078166471,1.435493013,2.220101691,2.466694486,1.82316146,1.065253312,-4.51E-04,2.402992816,1.135220377,0.37722703,-0.556602878,-0.431268139,1.529436566,0.061378397,0.086637938,-0.227150376,0.151521483,-0.081210291,-0.269975182,-0.431268139,1.529436566,0.061378397,2.403091885,-0.405639708,0.262933826,-0.496401334,-0.498401235,-0.240146761,-0.304096238,2.264367037,-0.242107784,-0.080711844,0.365839291,-0.188554042,-0.769816644,1.902843065,0.046300881,0.7332272,-0.698688333,-0.856742602
